연월,시도,전월세전환율,연도,월
2015-06,충북,7.4,2015,6
2015-07,강원,8.1,2015,7
2015-07,경기,5.5,2015,7
2015-07,경남,6.0,2015,7
2015-07,경북,7.1,2015,7
2015-07,광주,6.2,2015,7
2015-07,대구,5.0,2015,7
2015-07,대전,6.0,2015,7
2015-07,부산,5.5,2015,7
2015-07,서울,5.1,2015,7
2015-07,세종,5.3,2015,7
2015-07,울산,6.0,2015,7
2015-07,인천,6.0,2015,7
2015-07,전남,7.9,2015,7
2015-07,전북,7.1,2015,7
2015-07,제주,7.2,2015,7
2015-07,충남,7.0,2015,7
2015-07,충북,7.3,2015,7
2015-08,강원,8.0,2015,8
2015-08,경기,5.4,2015,8
2015-08,경남,6.0,2015,8
2015-08,경북,7.1,2015,8
2015-08,광주,6.1,2015,8
2015-08,대구,4.9,2015,8
2015-08,대전,6.0,2015,8
2015-08,부산,5.5,2015,8
2015-08,서울,5.0,2015,8
2015-08,세종,5.2,2015,8
2015-08,울산,6.0,2015,8
2015-08,인천,5.8,2015,8
2015-08,전남,7.8,2015,8
2015-08,전북,7.4,2015,8
2015-08,제주,7.1,2015,8
2015-08,충남,7.0,2015,8
2015-08,충북,7.0,2015,8
2015-09,강원,7.905430898,2015,9
2015-09,경기,5.333333333,2015,9
2015-09,경남,6.0,2015,9
2015-09,경북,6.970954357,2015,9
2015-09,광주,6.0,2015,9
2015-09,대구,4.836330413,2015,9
2015-09,대전,5.746788991,2015,9
2015-09,부산,5.45199623,2015,9
2015-09,서울,4.941176471,2015,9
2015-09,세종,5.113770641,2015,9
2015-09,울산,6.0,2015,9
2015-09,인천,5.637583893,2015,9
2015-09,전남,7.636363636,2015,9
2015-09,전북,7.446921672,2015,9
2015-09,제주,7.125,2015,9
2015-09,충남,6.857142857,2015,9
2015-09,충북,7.131102048,2015,9
2015-10,강원,7.902439024,2015,10
2015-10,경기,5.202312139,2015,10
2015-10,경남,6.0,2015,10
2015-10,경북,6.857142857,2015,10
2015-10,광주,6.0,2015,10
2015-10,대구,4.791791801,2015,10
2015-10,대전,5.700754612,2015,10
2015-10,부산,5.333333333,2015,10
2015-10,서울,4.806263221,2015,10
2015-10,세종,5.052631579,2015,10
2015-10,울산,6.0,2015,10
2015-10,인천,5.558685446,2015,10
2015-10,전남,7.51674327,2015,10
2015-10,전북,7.446921672,2015,10
2015-10,제주,7.125,2015,10
2015-10,충남,7.0,2015,10
2015-10,충북,7.2,2015,10
2015-11,강원,7.894736842,2015,11
2015-11,경기,5.106382979,2015,11
2015-11,경남,6.0,2015,11
2015-11,경북,6.486486486,2015,11
2015-11,광주,6.0,2015,11
2015-11,대구,4.731786861,2015,11
2015-11,대전,5.6,2015,11
2015-11,부산,5.333333333,2015,11
2015-11,서울,4.8,2015,11
2015-11,세종,5.0,2015,11
2015-11,울산,5.828571429,2015,11
2015-11,인천,5.446371719,2015,11
2015-11,전남,7.384615385,2015,11
2015-11,전북,7.446921672,2015,11
2015-11,제주,7.238095238,2015,11
2015-11,충남,7.0,2015,11
2015-11,충북,7.04271438,2015,11
2015-12,강원,7.902439024,2015,12
2015-12,경기,5.0,2015,12
2015-12,경남,6.0,2015,12
2015-12,경북,6.268287279,2015,12
