연월,시도,전입,전출,순이동,연도,월
2017-04,경남,31635,31979,-344,2017,4
2017-04,경북,21978,22496,-518,2017,4
2017-04,광주,15679,16691,-1012,2017,4
2017-04,대구,22568,23205,-637,2017,4
2017-04,대전,15090,16194,-1104,2017,4
2017-04,부산,34002,35946,-1944,2017,4
2017-04,서울,112932,119307,-6375,2017,4
2017-04,세종,6298,3519,2779,2017,4
2017-04,울산,10745,11518,-773,2017,4
2017-04,인천,30495,30441,54,2017,4
2017-04,전남,17470,17065,405,2017,4
2017-04,전북,16925,17498,-573,2017,4
2017-04,제주,7390,6310,1080,2017,4
2017-04,충남,22158,20211,1947,2017,4
2017-04,충북,15093,14363,730,2017,4
2017-05,강원,15883,15846,37,2017,5
2017-05,경기,147097,139991,7106,2017,5
2017-05,경남,36716,36277,439,2017,5
2017-05,경북,22006,22831,-825,2017,5
2017-05,광주,16438,16948,-510,2017,5
2017-05,대구,23786,24772,-986,2017,5
2017-05,대전,18652,20854,-2202,2017,5
2017-05,부산,36958,39318,-2360,2017,5
2017-05,서울,124132,130722,-6590,2017,5
2017-05,세종,9434,4624,4810,2017,5
2017-05,울산,10572,11593,-1021,2017,5
2017-05,인천,34524,34365,159,2017,5
2017-05,전남,17433,17614,-181,2017,5
2017-05,전북,18192,18741,-549,2017,5
2017-05,제주,7951,6666,1285,2017,5
2017-05,충남,22636,21164,1472,2017,5
2017-05,충북,15601,15685,-84,2017,5
2017-06,강원,15639,14859,780,2017,6
2017-06,경기,138178,132131,6047,2017,6
2017-06,경남,35099,34485,614,2017,6
2017-06,경북,21740,22436,-696,2017,6
2017-06,광주,15601,16034,-433,2017,6
2017-06,대구,22260,22875,-615,2017,6
2017-06,대전,16847,18585,-1738,2017,6
2017-06,부산,34064,36628,-2564,2017,6
2017-06,서울,115236,121281,-6045,2017,6
2017-06,세종,7819,4085,3734,2017,6
2017-06,울산,10225,11014,-789,2017,6
2017-06,인천,31915,31714,201,2017,6
2017-06,전남,16008,16439,-431,2017,6
2017-06,전북,16964,17650,-686,2017,6
2017-06,제주,7041,6197,844,2017,6
2017-06,충남,21108,19354,1754,2017,6
2017-06,충북,15333,15310,23,2017,6
2017-07,강원,14486,14791,-305,2017,7
2017-07,경기,141537,133528,8009,2017,7
2017-07,경남,32708,31780,928,2017,7
2017-07,경북,24410,25062,-652,2017,7
2017-07,광주,15040,15356,-316,2017,7
2017-07,대구,23072,23807,-735,2017,7
2017-07,대전,15462,16382,-920,2017,7
2017-07,부산,35266,37237,-1971,2017,7
2017-07,서울,113098,121341,-8243,2017,7
2017-07,세종,6492,3679,2813,2017,7
2017-07,울산,9807,10770,-963,2017,7
2017-07,인천,34014,33887,127,2017,7
2017-07,전남,16888,17077,-189,2017,7
2017-07,전북,17423,18172,-749,2017,7
2017-07,제주,7418,5845,1573,2017,7
2017-07,충남,21017,19512,1505,2017,7
2017-07,충북,15148,15060,88,2017,7
2017-08,강원,15950,15788,162,2017,8
2017-08,경기,169095,158331,10764,2017,8
2017-08,경남,34778,35344,-566,2017,8
2017-08,경북,28946,29092,-146,2017,8
2017-08,광주,18683,18658,25,2017,8
2017-08,대구,27528,29406,-1878,2017,8
2017-08,대전,17413,18333,-920,2017,8
2017-08,부산,40356,41103,-747,2017,8
2017-08,서울,132940,141931,-8991,2017,8
2017-08,세종,7536,4711,2825,2017,8
2017-08,울산,10444,11930,-1486,2017,8
2017-08,인천,36757,37274,-517,2017,8
2017-08,전남,17648,18938,-1290,2017,8
2017-08,전북,18559,19370,-811,2017,8
2017-08,제주,8199,6646,1553,2017,8
2017-08,충남,26580,24570,2010,2017,8
2017-08,충북,16739,16726,13,2017,8
2017-09,강원,15381,14980,401,2017,9
2017-09,경기,172577,158654,13923,2017,9
2017-09,경남,30366,29827,539,2017,9
2017-09,경북,27433,26465,968,2017,9
2017-09,광주,16586,16753,-167,2017,9
2017-09,대구,26579,28440,-1861,2017,9
2017-09,대전,16413,17155,-742,2017,9
2017-09,부산,34958,36416,-1458,2017,9
2017-09,서울,120252,133583,-13331,2017,9
2017-09,세종,5518,3450,2068,2017,9
2017-09,울산,11440,12397,-957,2017,9
2017-09,인천,33943,35324,-1381,2017,9
2017-09,전남,16496,16892,-396,2017,9
2017-09,전북,16893,17334,-441,2017,9
2017-09,제주,7728,6501,1227,2017,9
2017-09,충남,23068,21619,1449,2017,9
2017-09,충북,15261,15102,159,2017,9
2017-10,강원,14119,13632,487,2017,10
2017-10,경기,147785,137313,10472,2017,10
2017-10,경남,28356,26171,2185,2017,10
2017-10,경북,23102,22517,585,2017,10
2017-10,광주,14974,15138,-164,2017,10
2017-10,대구,27594,28787,-1193,2017,10
2017-10,대전,14866,16105,-1239,2017,10
2017-10,부산,29670,34419,-4749,2017,10
