연월,시도,준공_아파트,준공_전체,착공_아파트,착공_전체,착공_호수,준공_호수,착공_비아파트,준공_비아파트,연도,월
2016-02,강원,662.0,1317.0,469.0,1531.0,1531.0,1317.0,1062.0,655.0,2016,2
2016-02,경기,5727.0,10678.0,6802.0,12696.0,12696.0,10678.0,5894.0,4951.0,2016,2
2016-02,경남,78.0,1402.0,6751.0,8147.0,8147.0,1402.0,1396.0,1324.0,2016,2
2016-02,경북,4762.0,6351.0,1307.0,2912.0,2912.0,6351.0,1605.0,1589.0,2016,2
2016-02,광주,161.0,429.0,582.0,885.0,885.0,429.0,303.0,268.0,2016,2
2016-02,대구,791.0,2078.0,1093.0,1897.0,1897.0,2078.0,804.0,1287.0,2016,2
2016-02,대전,460.0,955.0,41.0,672.0,672.0,955.0,631.0,495.0,2016,2
2016-02,부산,428.0,1021.0,1403.0,2030.0,2030.0,1021.0,627.0,593.0,2016,2
2016-02,서울,1915.0,5935.0,1498.0,5224.0,5224.0,5935.0,3726.0,4020.0,2016,2
2016-02,세종,823.0,853.0,,80.0,80.0,853.0,,30.0,2016,2
2016-02,울산,41.0,476.0,46.0,380.0,380.0,476.0,334.0,435.0,2016,2
2016-02,인천,152.0,646.0,121.0,718.0,718.0,646.0,597.0,494.0,2016,2
2016-02,전남,177.0,538.0,232.0,927.0,927.0,538.0,695.0,361.0,2016,2
2016-02,전북,1110.0,1748.0,780.0,1566.0,1566.0,1748.0,786.0,638.0,2016,2
2016-02,제주,191.0,1141.0,46.0,1711.0,1711.0,1141.0,1665.0,950.0,2016,2
2016-02,충남,633.0,1741.0,,1418.0,1418.0,1741.0,,1108.0,2016,2
2016-02,충북,1168.0,1791.0,,966.0,966.0,1791.0,,623.0,2016,2
2016-03,강원,,721.0,880.0,2377.0,2377.0,721.0,1497.0,,2016,3
2016-03,경기,2513.0,8108.0,13027.0,22478.0,22478.0,8108.0,9451.0,5595.0,2016,3
2016-03,경남,688.0,2319.0,961.0,2938.0,2938.0,2319.0,1977.0,1631.0,2016,3
2016-03,경북,1808.0,3946.0,1209.0,3669.0,3669.0,3946.0,2460.0,2138.0,2016,3
2016-03,광주,706.0,1108.0,,511.0,511.0,1108.0,,402.0,2016,3
2016-03,대구,2815.0,4358.0,2668.0,4054.0,4054.0,4358.0,1386.0,1543.0,2016,3
2016-03,대전,563.0,1110.0,2479.0,3510.0,3510.0,1110.0,1031.0,547.0,2016,3
2016-03,부산,269.0,1027.0,4431.0,5177.0,5177.0,1027.0,746.0,758.0,2016,3
2016-03,서울,562.0,5746.0,2407.0,8050.0,8050.0,5746.0,5643.0,5184.0,2016,3
2016-03,세종,266.0,377.0,829.0,888.0,888.0,377.0,59.0,111.0,2016,3
2016-03,울산,,536.0,65.0,607.0,607.0,536.0,542.0,,2016,3
2016-03,인천,1332.0,1891.0,668.0,1484.0,1484.0,1891.0,816.0,559.0,2016,3
2016-03,전남,452.0,1204.0,1724.0,2709.0,2709.0,1204.0,985.0,752.0,2016,3
2016-03,전북,942.0,1552.0,872.0,2065.0,2065.0,1552.0,1193.0,610.0,2016,3
2016-03,제주,236.0,1516.0,915.0,2722.0,2722.0,1516.0,1807.0,1280.0,2016,3
2016-03,충남,1025.0,2164.0,431.0,2684.0,2684.0,2164.0,2253.0,1139.0,2016,3
2016-03,충북,344.0,992.0,749.0,2664.0,2664.0,992.0,1915.0,648.0,2016,3
2016-04,강원,326.0,811.0,27.0,1318.0,1318.0,811.0,1291.0,485.0,2016,4
2016-04,경기,12245.0,17711.0,16472.0,24761.0,24761.0,17711.0,8289.0,5466.0,2016,4
2016-04,경남,2758.0,4513.0,7391.0,9507.0,9507.0,4513.0,2116.0,1755.0,2016,4
2016-04,경북,1192.0,3107.0,1707.0,3802.0,3802.0,3107.0,2095.0,1915.0,2016,4
2016-04,광주,2963.0,3281.0,3168.0,3567.0,3567.0,3281.0,399.0,318.0,2016,4
2016-04,대구,1641.0,3102.0,251.0,1340.0,1340.0,3102.0,1089.0,1461.0,2016,4
2016-04,대전,247.0,712.0,214.0,878.0,878.0,712.0,664.0,465.0,2016,4
2016-04,부산,719.0,1203.0,3247.0,3813.0,3813.0,1203.0,566.0,484.0,2016,4
2016-04,서울,1741.0,7271.0,1776.0,6250.0,6250.0,7271.0,4474.0,5530.0,2016,4
2016-04,세종,,9.0,3968.0,4023.0,4023.0,9.0,55.0,,2016,4
2016-04,울산,2003.0,2443.0,3083.0,3760.0,3760.0,2443.0,677.0,440.0,2016,4
2016-04,인천,141.0,728.0,395.0,1330.0,1330.0,728.0,935.0,587.0,2016,4
2016-04,전남,801.0,1287.0,851.0,1830.0,1830.0,1287.0,979.0,486.0,2016,4
2016-04,전북,343.0,977.0,154.0,1313.0,1313.0,977.0,1159.0,634.0,2016,4
