시도,연월,KB_매수우위지수,KB_매매거래지수,KB_전세수급지수,연도,월
경기,2022-10,14.248385,0.622907,72.197215,2022,10
경남,2022-10,38.700631,5.753911,129.821601,2022,10
경북,2022-10,21.089005,1.59214,151.724303,2022,10
광주,2022-10,14.159828,0.0,66.640518,2022,10
대구,2022-10,11.396195,0.0,70.254902,2022,10
대전,2022-10,16.427195,0.0,70.183689,2022,10
부산,2022-10,10.604357,0.591894,85.26789,2022,10
서울,2022-10,22.994924,0.909986,79.838508,2022,10
세종,2022-10,3.333333,6.666667,76.666667,2022,10
울산,2022-10,9.580729,0.78783,115.354489,2022,10
인천,2022-10,10.592874,0.415293,72.844292,2022,10
전남,2022-10,33.504768,0.0,131.877884,2022,10
전북,2022-10,19.838412,0.833715,100.266019,2022,10
제주,2022-10,35.496914,0.0,117.748457,2022,10
충남,2022-10,28.607879,2.649057,131.627572,2022,10
충북,2022-10,35.201207,2.300691,127.745987,2022,10
강원,2022-11,32.689434385,12.3447791,110.066498465,2022,11
경기,2022-11,13.261293342,1.663422798,50.360180497,2022,11
경남,2022-11,26.152055135,6.196512804,111.741990705,2022,11
경북,2022-11,28.189295756,2.327490169,128.004088107,2022,11
광주,2022-11,10.942201924,1.586749943,54.461300433,2022,11
대구,2022-11,11.780485132,0.0,48.053200033,2022,11
대전,2022-11,16.530353307,2.158618826,55.554700552,2022,11
부산,2022-11,10.808044233,0.89676064,55.378247558,2022,11
서울,2022-11,19.943309849,0.888447983,54.356318892,2022,11
세종,2022-11,14.814814815,5.555555506,59.259259159,2022,11
울산,2022-11,8.720287974,0.668472064,94.113500231,2022,11
인천,2022-11,11.040037107,1.946766674,57.854186886,2022,11
전남,2022-11,21.167207671,3.576131277,106.943484361,2022,11
전북,2022-11,22.806903297,3.528270708,82.962863467,2022,11
제주,2022-11,39.967654462,0.0,120.576296593,2022,11
충남,2022-11,23.739756217,3.256648979,109.695971376,2022,11
충북,2022-11,29.224450727,4.161802224,113.661668257,2022,11
강원,2022-12,29.001738014,2.434955494,114.348375449,2022,12
경기,2022-12,15.731671813,1.033897362,44.072485844,2022,12
경남,2022-12,27.049374448,5.542342266,103.430337387,2022,12
경북,2022-12,23.607570131,2.034595551,112.472238795,2022,12
광주,2022-12,9.33433227,0.0,41.766458324,2022,12
대구,2022-12,6.40643746,0.323700295,40.812525464,2022,12
대전,2022-12,12.258474422,0.0,54.989072209,2022,12
부산,2022-12,11.088299208,0.641617817,51.679679245,2022,12
서울,2022-12,20.477133314,0.472157794,46.528365308,2022,12
세종,2022-12,9.80392151,5.882352906,39.215686139,2022,12
울산,2022-12,5.785510882,0.0,80.743075903,2022,12
인천,2022-12,16.522414761,1.953627708,48.284847492,2022,12
전남,2022-12,21.638883422,3.186220637,117.326343932,2022,12
전북,2022-12,16.397301859,1.930698294,73.402978771,2022,12
제주,2022-12,30.013714405,4.086545334,118.646961218,2022,12
충남,2022-12,22.541907859,2.103004696,98.503885337,2022,12
충북,2022-12,35.628802785,0.0,105.187388189,2022,12
강원,2023-01,48.00557782,4.16562473,113.47875624,2023,1
경기,2023-01,16.26529343,3.07116534,46.30386125,2023,1
경남,2023-01,23.43245922,5.12423753,97.71109062,2023,1
경북,2023-01,25.49340474,2.85223905,98.96544058,2023,1
광주,2023-01,7.06962381,0.41661198,63.57338332,2023,1
대구,2023-01,7.86493383,1.03896669,34.28988926,2023,1
대전,2023-01,9.11371352,1.46042594,61.87202582,2023,1
부산,2023-01,11.4692642,2.06860499,50.33102336,2023,1
