연월,시도,지가변동률,연도,월
2013-08,제주,0.024,2013,8
2013-08,충남,0.015,2013,8
2013-08,충북,0.044,2013,8
2013-09,강원,0.034,2013,9
2013-09,경기,0.037,2013,9
2013-09,경남,0.06,2013,9
2013-09,경북,0.095,2013,9
2013-09,광주,-0.001,2013,9
2013-09,대구,0.131,2013,9
2013-09,대전,0.069,2013,9
2013-09,부산,0.08,2013,9
2013-09,서울,0.145,2013,9
2013-09,세종,0.388,2013,9
2013-09,울산,0.02,2013,9
2013-09,인천,0.056,2013,9
2013-09,전국,0.076,2013,9
2013-09,전남,0.011,2013,9
2013-09,전북,0.041,2013,9
2013-09,제주,0.002,2013,9
2013-09,충남,0.011,2013,9
2013-09,충북,0.019,2013,9
2013-10,강원,0.113,2013,10
2013-10,경기,0.104,2013,10
2013-10,경남,0.171,2013,10
2013-10,경북,0.19,2013,10
2013-10,광주,0.075,2013,10
2013-10,대구,0.212,2013,10
2013-10,대전,0.095,2013,10
2013-10,부산,0.158,2013,10
2013-10,서울,0.21,2013,10
2013-10,세종,0.441,2013,10
2013-10,울산,0.152,2013,10
2013-10,인천,0.089,2013,10
2013-10,전국,0.152,2013,10
2013-10,전남,0.14,2013,10
2013-10,전북,0.144,2013,10
2013-10,제주,0.233,2013,10
2013-10,충남,0.121,2013,10
2013-10,충북,0.094,2013,10
2013-11,강원,0.119,2013,11
2013-11,경기,0.118,2013,11
2013-11,경남,0.159,2013,11
2013-11,경북,0.145,2013,11
2013-11,광주,0.135,2013,11
2013-11,대구,0.188,2013,11
2013-11,대전,0.125,2013,11
2013-11,부산,0.183,2013,11
2013-11,서울,0.213,2013,11
2013-11,세종,0.313,2013,11
2013-11,울산,0.16,2013,11
2013-11,인천,0.103,2013,11
2013-11,전국,0.156,2013,11
2013-11,전남,0.159,2013,11
2013-11,전북,0.162,2013,11
2013-11,제주,0.243,2013,11
2013-11,충남,0.046,2013,11
2013-11,충북,0.159,2013,11
2013-12,강원,0.115,2013,12
2013-12,경기,0.124,2013,12
2013-12,경남,0.145,2013,12
2013-12,경북,0.164,2013,12
2013-12,광주,0.157,2013,12
2013-12,대구,0.199,2013,12
2013-12,대전,0.188,2013,12
2013-12,부산,0.164,2013,12
2013-12,서울,0.189,2013,12
2013-12,세종,0.481,2013,12
2013-12,울산,0.125,2013,12
2013-12,인천,0.033,2013,12
2013-12,전국,0.151,2013,12
2013-12,전남,0.144,2013,12
2013-12,전북,0.187,2013,12
2013-12,제주,0.329,2013,12
2013-12,충남,0.122,2013,12
2013-12,충북,0.106,2013,12
2014-01,강원,0.083,2014,1
2014-01,경기,0.042,2014,1
2014-01,경남,0.096,2014,1
2014-01,경북,0.104,2014,1
2014-01,광주,0.052,2014,1
2014-01,대구,0.165,2014,1
2014-01,대전,0.022,2014,1
2014-01,부산,0.099,2014,1
2014-01,서울,0.19,2014,1
2014-01,세종,0.415,2014,1
2014-01,울산,0.098,2014,1
2014-01,인천,0.054,2014,1
2014-01,전국,0.107,2014,1
2014-01,전남,0.109,2014,1
2014-01,전북,0.095,2014,1
2014-01,제주,0.226,2014,1
2014-01,충남,0.071,2014,1
2014-01,충북,0.012,2014,1
2014-02,강원,0.078,2014,2
2014-02,경기,0.083,2014,2
2014-02,경남,0.139,2014,2
2014-02,경북,0.175,2014,2
2014-02,광주,0.084,2014,2
2014-02,대구,0.206,2014,2
2014-02,대전,0.144,2014,2
2014-02,부산,0.146,2014,2
2014-02,서울,0.206,2014,2
2014-02,세종,0.38,2014,2
2014-02,울산,0.106,2014,2
2014-02,인천,0.1,2014,2
2014-02,전국,0.142,2014,2
2014-02,전남,0.201,2014,2
2014-02,전북,0.128,2014,2
2014-02,제주,0.387,2014,2
2014-02,충남,0.075,2014,2
2014-02,충북,0.086,2014,2
2014-03,강원,0.157,2014,3
2014-03,경기,0.135,2014,3
2014-03,경남,0.14,2014,3
2014-03,경북,0.203,2014,3
2014-03,광주,0.095,2014,3
2014-03,대구,0.249,2014,3
2014-03,대전,0.084,2014,3
2014-03,부산,0.149,2014,3
2014-03,서울,0.291,2014,3
2014-03,세종,0.505,2014,3
2014-03,울산,0.198,2014,3
2014-03,인천,0.219,2014,3
2014-03,전국,0.199,2014,3
2014-03,전남,0.214,2014,3
2014-03,전북,0.162,2014,3
2014-03,제주,0.318,2014,3
2014-03,충남,0.08,2014,3
2014-03,충북,0.203,2014,3
2014-04,강원,0.167,2014,4
2014-04,경기,0.14,2014,4
2014-04,경남,0.176,2014,4
2014-04,경북,0.214,2014,4
2014-04,광주,0.04,2014,4
2014-04,대구,0.263,2014,4
2014-04,대전,0.102,2014,4
2014-04,부산,0.188,2014,4
2014-04,서울,0.23,2014,4
2014-04,세종,0.613,2014,4
2014-04,울산,0.179,2014,4
2014-04,인천,0.091,2014,4
2014-04,전국,0.18,2014,4
2014-04,전남,0.171,2014,4
2014-04,전북,0.159,2014,4
2014-04,제주,0.357,2014,4
2014-04,충남,0.119,2014,4
2014-04,충북,0.213,2014,4
2014-05,강원,0.111,2014,5
2014-05,경기,0.134,2014,5
2014-05,경남,0.145,2014,5
2014-05,경북,0.174,2014,5
2014-05,광주,0.161,2014,5
2014-05,대구,0.253,2014,5
2014-05,대전,0.034,2014,5
2014-05,부산,0.178,2014,5
2014-05,서울,0.182,2014,5
2014-05,세종,0.491,2014,5
2014-05,울산,0.184,2014,5
2014-05,인천,0.071,2014,5
2014-05,전국,0.152,2014,5
2014-05,전남,0.091,2014,5
2014-05,전북,0.087,2014,5
2014-05,제주,0.246,2014,5
2014-05,충남,0.134,2014,5
2014-05,충북,0.118,2014,5
2014-06,강원,0.144,2014,6
2014-06,경기,0.092,2014,6
2014-06,경남,0.194,2014,6
2014-06,경북,0.22,2014,6
2014-06,광주,0.17,2014,6
2014-06,대구,0.274,2014,6
2014-06,대전,0.106,2014,6
2014-06,부산,0.202,2014,6
2014-06,서울,0.181,2014,6
2014-06,세종,0.383,2014,6
2014-06,울산,0.124,2014,6
2014-06,인천,0.089,2014,6
2014-06,전국,0.148,2014,6
2014-06,전남,0.128,2014,6
2014-06,전북,0.146,2014,6
2014-06,제주,0.213,2014,6
2014-06,충남,0.144,2014,6
2014-06,충북,0.125,2014,6
2014-07,강원,0.159,2014,7
2014-07,경기,0.109,2014,7
2014-07,경남,0.2,2014,7
2014-07,경북,0.221,2014,7
2014-07,광주,0.125,2014,7
2014-07,대구,0.271,2014,7
2014-07,대전,0.231,2014,7
2014-07,부산,0.216,2014,7
2014-07,서울,0.207,2014,7
2014-07,세종,0.535,2014,7
2014-07,울산,0.218,2014,7
2014-07,인천,0.073,2014,7
2014-07,전국,0.168,2014,7
2014-07,전남,0.149,2014,7
2014-07,전북,0.162,2014,7
2014-07,제주,0.271,2014,7
2014-07,충남,0.116,2014,7
2014-07,충북,0.203,2014,7
2014-08,강원,0.161,2014,8
2014-08,경기,0.077,2014,8
2014-08,경남,0.109,2014,8
2014-08,경북,0.18,2014,8
2014-08,광주,0.108,2014,8
2014-08,대구,0.246,2014,8
2014-08,대전,0.254,2014,8
2014-08,부산,0.181,2014,8
2014-08,서울,0.186,2014,8
2014-08,세종,0.478,2014,8
2014-08,울산,0.114,2014,8
2014-08,인천,0.117,2014,8
2014-08,전국,0.138,2014,8
2014-08,전남,0.084,2014,8
2014-08,전북,0.083,2014,8
2014-08,제주,0.293,2014,8
2014-08,충남,0.07,2014,8
2014-08,충북,0.134,2014,8
2014-09,강원,0.146,2014,9
2014-09,경기,0.085,2014,9
2014-09,경남,0.177,2014,9
2014-09,경북,0.205,2014,9
2014-09,광주,0.07,2014,9
2014-09,대구,0.27,2014,9
2014-09,대전,0.28,2014,9
2014-09,부산,0.193,2014,9
2014-09,서울,0.294,2014,9
2014-09,세종,0.195,2014,9
2014-09,울산,0.166,2014,9
2014-09,인천,0.134,2014,9
2014-09,전국,0.186,2014,9
2014-09,전남,0.142,2014,9
2014-09,전북,0.096,2014,9
2014-09,제주,0.32,2014,9
2014-09,충남,0.15,2014,9
2014-09,충북,0.145,2014,9
2014-10,강원,0.178,2014,10
2014-10,경기,0.124,2014,10
2014-10,경남,0.244,2014,10
2014-10,경북,0.245,2014,10
2014-10,광주,0.103,2014,10
2014-10,대구,0.319,2014,10
2014-10,대전,0.206,2014,10
2014-10,부산,0.241,2014,10
2014-10,서울,0.29,2014,10
2014-10,세종,0.102,2014,10
2014-10,울산,0.143,2014,10
2014-10,인천,0.153,2014,10
2014-10,전국,0.202,2014,10
2014-10,전남,0.142,2014,10
2014-10,전북,0.17,2014,10
2014-10,제주,0.33,2014,10
2014-10,충남,0.132,2014,10
2014-10,충북,0.104,2014,10
2014-11,강원,0.165,2014,11
2014-11,경기,0.1,2014,11
2014-11,경남,0.146,2014,11
2014-11,경북,0.208,2014,11
2014-11,광주,0.098,2014,11
2014-11,대구,0.301,2014,11
2014-11,대전,0.174,2014,11
2014-11,부산,0.223,2014,11
2014-11,서울,0.198,2014,11
2014-11,세종,0.084,2014,11
2014-11,울산,0.155,2014,11
2014-11,인천,0.081,2014,11
2014-11,전국,0.159,2014,11
2014-11,전남,0.169,2014,11
2014-11,전북,0.141,2014,11
2014-11,제주,0.339,2014,11
2014-11,충남,0.156,2014,11
2014-11,충북,0.166,2014,11
2014-12,강원,0.204,2014,12
2014-12,경기,0.109,2014,12
2014-12,경남,0.189,2014,12
2014-12,경북,0.243,2014,12
2014-12,광주,0.199,2014,12
2014-12,대구,0.287,2014,12
2014-12,대전,0.192,2014,12
2014-12,부산,0.239,2014,12
2014-12,서울,0.176,2014,12
2014-12,세종,0.257,2014,12
2014-12,울산,0.149,2014,12
2014-12,인천,0.16,2014,12
2014-12,전국,0.166,2014,12
2014-12,전남,0.187,2014,12
2014-12,전북,0.143,2014,12
2014-12,제주,0.366,2014,12
2014-12,충남,0.129,2014,12
2014-12,충북,0.174,2014,12
2015-01,강원,0.139,2015,1
2015-01,경기,0.108,2015,1
2015-01,경남,0.144,2015,1
2015-01,경북,0.169,2015,1
2015-01,광주,0.196,2015,1
2015-01,대구,0.274,2015,1
2015-01,대전,0.181,2015,1
2015-01,부산,0.192,2015,1
2015-01,서울,0.173,2015,1
2015-01,세종,0.055,2015,1
2015-01,울산,0.096,2015,1
2015-01,인천,0.115,2015,1
2015-01,전국,0.143,2015,1
2015-01,전남,0.142,2015,1
2015-01,전북,0.134,2015,1
2015-01,제주,0.292,2015,1
2015-01,충남,0.048,2015,1
2015-01,충북,0.098,2015,1
2015-02,강원,0.14,2015,2
2015-02,경기,0.112,2015,2
2015-02,경남,0.134,2015,2
2015-02,경북,0.154,2015,2
2015-02,광주,0.163,2015,2
2015-02,대구,0.263,2015,2
2015-02,대전,0.123,2015,2
2015-02,부산,0.189,2015,2
2015-02,서울,0.183,2015,2
2015-02,세종,0.076,2015,2
2015-02,울산,0.075,2015,2
2015-02,인천,0.124,2015,2
2015-02,전국,0.149,2015,2
2015-02,전남,0.171,2015,2
2015-02,전북,0.144,2015,2
2015-02,제주,0.365,2015,2
2015-02,충남,0.074,2015,2
2015-02,충북,0.145,2015,2
2015-03,강원,0.223,2015,3
2015-03,경기,0.133,2015,3
2015-03,경남,0.191,2015,3
2015-03,경북,0.204,2015,3
2015-03,광주,0.226,2015,3
2015-03,대구,0.331,2015,3
2015-03,대전,0.184,2015,3
2015-03,부산,0.244,2015,3
2015-03,서울,0.213,2015,3
2015-03,세종,0.219,2015,3
2015-03,울산,0.22,2015,3
2015-03,인천,0.132,2015,3
2015-03,전국,0.186,2015,3
2015-03,전남,0.213,2015,3
2015-03,전북,0.193,2015,3
2015-03,제주,0.21,2015,3
2015-03,충남,0.145,2015,3
2015-03,충북,0.23,2015,3
2015-04,강원,0.253,2015,4
2015-04,경기,0.148,2015,4
2015-04,경남,0.199,2015,4
2015-04,경북,0.219,2015,4
2015-04,광주,0.185,2015,4
2015-04,대구,0.304,2015,4
2015-04,대전,0.178,2015,4
2015-04,부산,0.265,2015,4
2015-04,서울,0.228,2015,4
2015-04,세종,0.308,2015,4
2015-04,울산,0.217,2015,4
2015-04,인천,0.199,2015,4
2015-04,전국,0.197,2015,4
2015-04,전남,0.204,2015,4
2015-04,전북,0.164,2015,4
2015-04,제주,0.298,2015,4
2015-04,충남,0.101,2015,4
2015-04,충북,0.172,2015,4
2015-05,강원,0.182,2015,5
2015-05,경기,0.11,2015,5
2015-05,경남,0.167,2015,5
2015-05,경북,0.193,2015,5
2015-05,광주,0.264,2015,5
2015-05,대구,0.317,2015,5
2015-05,대전,0.19,2015,5
2015-05,부산,0.267,2015,5
2015-05,서울,0.229,2015,5
2015-05,세종,0.393,2015,5
2015-05,울산,0.205,2015,5
2015-05,인천,0.138,2015,5
2015-05,전국,0.178,2015,5
2015-05,전남,0.199,2015,5
2015-05,전북,0.145,2015,5
2015-05,제주,0.205,2015,5
2015-05,충남,0.088,2015,5
2015-05,충북,0.143,2015,5
2015-06,강원,0.239,2015,6
2015-06,경기,0.155,2015,6
2015-06,경남,0.187,2015,6
2015-06,경북,0.221,2015,6
2015-06,광주,0.288,2015,6
2015-06,대구,0.301,2015,6
2015-06,대전,0.333,2015,6
2015-06,부산,0.295,2015,6
2015-06,서울,0.229,2015,6
2015-06,세종,0.436,2015,6
2015-06,울산,0.293,2015,6
2015-06,인천,0.19,2015,6
2015-06,전국,0.212,2015,6
2015-06,전남,0.263,2015,6
2015-06,전북,0.222,2015,6
2015-06,제주,0.313,2015,6
2015-06,충남,0.172,2015,6
2015-06,충북,0.17,2015,6
2015-07,강원,0.255,2015,7
2015-07,경기,0.165,2015,7
2015-07,경남,0.187,2015,7
2015-07,경북,0.239,2015,7
2015-07,광주,0.255,2015,7
2015-07,대구,0.36,2015,7
2015-07,대전,0.259,2015,7
2015-07,부산,0.275,2015,7
2015-07,서울,0.242,2015,7
2015-07,세종,0.468,2015,7
2015-07,울산,0.23,2015,7
2015-07,인천,0.172,2015,7
2015-07,전국,0.215,2015,7
2015-07,전남,0.287,2015,7
2015-07,전북,0.191,2015,7
2015-07,제주,0.392,2015,7
2015-07,충남,0.144,2015,7
2015-07,충북,0.172,2015,7
2015-08,강원,0.204,2015,8
2015-08,경기,0.134,2015,8
2015-08,경남,0.173,2015,8
2015-08,경북,0.208,2015,8
2015-08,광주,0.194,2015,8
2015-08,대구,0.352,2015,8
2015-08,대전,0.24,2015,8
2015-08,부산,0.238,2015,8
2015-08,서울,0.223,2015,8
2015-08,세종,0.343,2015,8
2015-08,울산,0.162,2015,8
2015-08,인천,0.19,2015,8
2015-08,전국,0.19,2015,8
2015-08,전남,0.249,2015,8
2015-08,전북,0.177,2015,8
2015-08,제주,0.352,2015,8
2015-08,충남,0.103,2015,8
2015-08,충북,0.142,2015,8
2015-09,강원,0.228,2015,9
2015-09,경기,0.135,2015,9
2015-09,경남,0.179,2015,9
2015-09,경북,0.21,2015,9
2015-09,광주,0.216,2015,9
2015-09,대구,0.354,2015,9
2015-09,대전,0.262,2015,9
