지역코드,시도,시군구,레벨,연도,1인당결정세액_백만원,1인당총급여_백만원,결정세액_금액,결정세액_인원,과세표준_금액,과세표준_인원,급여총계_금액,급여총계_인원,총급여_금액,총급여_인원
A1007,전북,순창군,시군구,2016,1.5270724992352402,28.066935233963434,4992,3269,85986,5599,182211,6711,181144,6454
A1008,전북,완주군,시군구,2016,1.959498355263158,30.81393988151832,28593,14592,422727,23949,847436,27559,842638,27346
A1009,전북,익산시,시군구,2016,1.766249486630785,28.67508577431576,81712,46263,1254216,77442,2587249,90373,2565818,89479
A1010,전북,임실군,시군구,2016,1.5541777384115736,28.684065090574148,5264,3387,90147,5696,187954,6549,186848,6514
A1011,전북,장수군,시군구,2016,1.5668868703550785,27.77367773677737,3795,2422,64760,4263,136254,4923,135480,4878
A1012,전북,전주시,시군구,2016,2.4551978381860806,32.40175235336712,274388,111758,3479286,181699,6749441,207708,6712023,207150
A1013,전북,정읍시,시군구,2016,1.4758318990246702,26.772136068034012,20579,13944,353562,24003,754933,28242,749245,27986
A1014,전북,진안군,시군구,2016,1.6200279134682485,27.9701726844584,4643,2866,77183,4919,161071,5781,160353,5733
A1101,전남,강진군,시군구,2016,1.721763795771016,28.421774814054885,6677,3878,107881,6667,223177,7826,221633,7798
A1102,전남,고흥군,시군구,2016,1.6181087988316905,26.90091743119266,8864,5478,145300,9767,310466,11511,307881,11445
A1103,전남,곡성군,시군구,2016,2.060985797827903,30.68568907192234,7401,3591,104451,5869,209627,6881,208632,6799
A1104,전남,광양시,시군구,2016,3.1081588549969887,37.413012963421686,87734,28227,982806,42840,1826949,48684,1812436,48444
A1105,전남,구례군,시군구,2016,1.801128818061089,28.37265459291891,5425,3012,84306,5301,175013,6344,173896,6129
A1106,전남,나주시,시군구,2016,1.9882857805613547,30.63674098298796,34286,17244,487473,27438,985544,32194,974279,31801
A1107,전남,담양군,시군구,2016,1.9612244897959183,29.255572188955423,12493,6370,176040,10316,355215,12205,351769,12024
A1108,전남,목포시,시군구,2016,1.8622098086914736,28.52278860125137,62006,33297,931875,58137,1940025,67586,1923748,67446
A1109,전남,무안군,시군구,2016,2.099538784067086,32.84433615299743,25037,11925,358750,18940,719928,21896,714430,21752
A1110,전남,보성군,시군구,2016,1.6616795366795367,27.583343262242344,6886,4144,111345,7072,232911,8509,231507,8393
A1111,전남,순천시,시군구,2016,2.7746307057623207,34.14444915510872,125097,45086,1478661,72417,2840272,83134,2818795,82555
A1112,전남,신안군,시군구,2016,1.6018353301045118,29.877679180887373,6284,3923,106412,6419,220842,7469,218854,7325
A1113,전남,여수시,시군구,2016,3.811272307099756,37.36199916578747,178116,46734,1707219,71969,3074018,81817,3045526,81514
A1114,전남,영광군,시군구,2016,2.540084388185654,31.843348495730588,16856,6636,207987,10825,401645,12671,399029,12531
A1115,전남,영암군,시군구,2016,1.590572817586134,28.123320066908924,15050,9462,242535,14967,490289,17522,487574,17337
A1116,전남,완도군,시군구,2016,1.6035476718403547,27.27713851498046,7232,4510,119780,7853,254758,9258,251277,9212
A1117,전남,장성군,시군구,2016,1.7343140198138698,29.158449562114825,11554,6662,177176,10567,362492,12403,359582,12332
A1118,전남,장흥군,시군구,2016,1.619708372530574,28.429348483017044,6887,4252,113910,7147,236853,8301,235196,8273
A1119,전남,진도군,시군구,2016,1.6604503870513725,28.72181685516235,4719,2842,76117,4687,158319,5498,157453,5482
A1120,전남,함평군,시군구,2016,1.8861702127659572,28.44988344988345,7092,3760,101598,6286,209011,7327,207485,7293
A1121,전남,해남군,시군구,2016,1.620600115406809,27.21874328294046,11234,6932,179894,11966,383000,14388,379892,13957
A1122,전남,화순군,시군구,2016,1.6554315645638806,27.242816742081448,14538,8782,230260,15075,486422,17952,481653,17680
