연월,시도,미분양_호수,연도,월
2009-11,전북,3743,2009,11
2009-11,제주,326,2009,11
2009-11,충남,14148,2009,11
2009-11,충북,5351,2009,11
2009-12,강원,7157,2009,12
2009-12,경기,19325,2009,12
2009-12,경남,8698,2009,12
2009-12,경북,12808,2009,12
2009-12,광주,4678,2009,12
2009-12,대구,16009,2009,12
2009-12,대전,3101,2009,12
2009-12,부산,9200,2009,12
2009-12,서울,1803,2009,12
2009-12,세종,0,2009,12
2009-12,울산,7106,2009,12
2009-12,인천,4539,2009,12
2009-12,전남,5690,2009,12
2009-12,전북,3498,2009,12
2009-12,제주,280,2009,12
2009-12,충남,14277,2009,12
2009-12,충북,5128,2009,12
2010-01,강원,5691,2010,1
2010-01,경기,20432,2010,1
2010-01,경남,8187,2010,1
2010-01,경북,12915,2010,1
2010-01,광주,4304,2010,1
2010-01,대구,15875,2010,1
2010-01,대전,3042,2010,1
2010-01,부산,8279,2010,1
2010-01,서울,1803,2010,1
2010-01,세종,0,2010,1
2010-01,울산,7041,2010,1
2010-01,인천,3591,2010,1
2010-01,전남,5387,2010,1
2010-01,전북,3327,2010,1
2010-01,제주,297,2010,1
2010-01,충남,13950,2010,1
2010-01,충북,4918,2010,1
2010-02,강원,5416,2010,2
2010-02,경기,22467,2010,2
2010-02,경남,7474,2010,2
2010-02,경북,12324,2010,2
2010-02,광주,3889,2010,2
2010-02,대구,16053,2010,2
2010-02,대전,2839,2010,2
2010-02,부산,7657,2010,2
2010-02,서울,1813,2010,2
2010-02,세종,0,2010,2
2010-02,울산,6930,2010,2
2010-02,인천,3046,2010,2
2010-02,전남,5238,2010,2
2010-02,전북,3172,2010,2
2010-02,제주,261,2010,2
2010-02,충남,13188,2010,2
2010-02,충북,4671,2010,2
2010-03,강원,5274,2010,3
2010-03,경기,21408,2010,3
2010-03,경남,7231,2010,3
2010-03,경북,12100,2010,3
2010-03,광주,3457,2010,3
2010-03,대구,16002,2010,3
2010-03,대전,2768,2010,3
2010-03,부산,7595,2010,3
2010-03,서울,1658,2010,3
2010-03,세종,0,2010,3
2010-03,울산,6482,2010,3
2010-03,인천,3033,2010,3
2010-03,전남,5330,2010,3
2010-03,전북,2852,2010,3
2010-03,제주,233,2010,3
2010-03,충남,12906,2010,3
2010-03,충북,4581,2010,3
2010-04,강원,5108,2010,4
2010-04,경기,21386,2010,4
2010-04,경남,6815,2010,4
2010-04,경북,11897,2010,4
2010-04,광주,3775,2010,4
2010-04,대구,16467,2010,4
2010-04,대전,2662,2010,4
2010-04,부산,7814,2010,4
2010-04,서울,1575,2010,4
2010-04,세종,0,2010,4
2010-04,울산,6362,2010,4
2010-04,인천,2949,2010,4
2010-04,전남,3736,2010,4
2010-04,전북,2731,2010,4
2010-04,제주,221,2010,4
2010-04,충남,12973,2010,4
2010-04,충북,3938,2010,4
2010-05,강원,5105,2010,5
2010-05,경기,22349,2010,5
2010-05,경남,6570,2010,5
2010-05,경북,12195,2010,5
2010-05,광주,3824,2010,5
2010-05,대구,16303,2010,5
2010-05,대전,2508,2010,5
2010-05,부산,7272,2010,5
2010-05,서울,1957,2010,5
2010-05,세종,0,2010,5
2010-05,울산,6401,2010,5
2010-05,인천,3341,2010,5
2010-05,전남,3492,2010,5
2010-05,전북,2569,2010,5
2010-05,제주,217,2010,5
2010-05,충남,12621,2010,5
2010-05,충북,3736,2010,5
2010-06,강원,5009,2010,6
2010-06,경기,21969,2010,6
2010-06,경남,6282,2010,6
2010-06,경북,11253,2010,6
2010-06,광주,2822,2010,6
2010-06,대구,16389,2010,6
2010-06,대전,2987,2010,6
2010-06,부산,6910,2010,6
2010-06,서울,1979,2010,6
2010-06,세종,0,2010,6
2010-06,울산,6392,2010,6
2010-06,인천,4320,2010,6
2010-06,전남,3397,2010,6
2010-06,전북,2568,2010,6
2010-06,제주,191,2010,6
2010-06,충남,12513,2010,6
2010-06,충북,5039,2010,6
2010-07,강원,4741,2010,7
2010-07,경기,21866,2010,7
2010-07,경남,6005,2010,7
2010-07,경북,10627,2010,7
2010-07,광주,2859,2010,7
2010-07,대구,16325,2010,7
2010-07,대전,2880,2010,7
2010-07,부산,6747,2010,7
2010-07,서울,1941,2010,7
2010-07,세종,0,2010,7
2010-07,울산,6128,2010,7
2010-07,인천,4344,2010,7
2010-07,전남,3293,2010,7
2010-07,전북,2419,2010,7
2010-07,제주,180,2010,7
2010-07,충남,12222,2010,7
2010-07,충북,3887,2010,7
2010-08,강원,4556,2010,8
2010-08,경기,22326,2010,8
2010-08,경남,5950,2010,8
2010-08,경북,10664,2010,8
2010-08,광주,2474,2010,8
2010-08,대구,16066,2010,8
2010-08,대전,2741,2010,8
2010-08,부산,6131,2010,8
2010-08,서울,2085,2010,8
2010-08,세종,0,2010,8
2010-08,울산,6085,2010,8
2010-08,인천,3741,2010,8
2010-08,전남,3142,2010,8
2010-08,전북,2394,2010,8
2010-08,제주,175,2010,8
2010-08,충남,11593,2010,8
2010-08,충북,3858,2010,8
2010-09,강원,4413,2010,9
2010-09,경기,23185,2010,9
2010-09,경남,6435,2010,9
2010-09,경북,9830,2010,9
2010-09,광주,2150,2010,9
2010-09,대구,14743,2010,9
2010-09,대전,2639,2010,9
2010-09,부산,5223,2010,9
2010-09,서울,2169,2010,9
2010-09,세종,0,2010,9
2010-09,울산,5994,2010,9
2010-09,인천,3847,2010,9
2010-09,전남,2988,2010,9
2010-09,전북,1893,2010,9
2010-09,제주,172,2010,9
2010-09,충남,10851,2010,9
2010-09,충북,3793,2010,9
2010-10,강원,4163,2010,10
2010-10,경기,22701,2010,10
2010-10,경남,5791,2010,10
2010-10,경북,9512,2010,10
2010-10,광주,1899,2010,10
2010-10,대구,15304,2010,10
2010-10,대전,2461,2010,10
2010-10,부산,6051,2010,10
2010-10,서울,2506,2010,10
2010-10,세종,0,2010,10
2010-10,울산,5841,2010,10
2010-10,인천,4127,2010,10
2010-10,전남,2848,2010,10
2010-10,전북,1722,2010,10
2010-10,제주,155,2010,10
2010-10,충남,10285,2010,10
2010-10,충북,3667,2010,10
2010-11,강원,3988,2010,11
2010-11,경기,22247,2010,11
2010-11,경남,5754,2010,11
2010-11,경북,8777,2010,11
2010-11,광주,2359,2010,11
2010-11,대구,14505,2010,11
2010-11,대전,2357,2010,11
2010-11,부산,4136,2010,11
2010-11,서울,2842,2010,11
2010-11,세종,0,2010,11
2010-11,울산,5680,2010,11
2010-11,인천,4100,2010,11
2010-11,전남,2724,2010,11
2010-11,전북,1488,2010,11
2010-11,제주,186,2010,11
2010-11,충남,9824,2010,11
2010-11,충북,3572,2010,11
2010-12,강원,3837,2010,12
2010-12,경기,22418,2010,12
2010-12,경남,4780,2010,12
2010-12,경북,8042,2010,12
2010-12,광주,1809,2010,12
2010-12,대구,13163,2010,12
2010-12,대전,2205,2010,12
2010-12,부산,3458,2010,12
2010-12,서울,2729,2010,12
2010-12,세종,0,2010,12
2010-12,울산,5575,2010,12
2010-12,인천,4265,2010,12
2010-12,전남,2504,2010,12
2010-12,전북,1311,2010,12
2010-12,제주,162,2010,12
2010-12,충남,9020,2010,12
2010-12,충북,3428,2010,12
2011-01,강원,3720,2011,1
2011-01,경기,22153,2011,1
2011-01,경남,4586,2011,1
2011-01,경북,7693,2011,1
2011-01,광주,1259,2011,1
2011-01,대구,12380,2011,1
2011-01,대전,2068,2011,1
2011-01,부산,3064,2011,1
2011-01,서울,2269,2011,1
2011-01,세종,0,2011,1
2011-01,울산,5472,2011,1
2011-01,인천,4474,2011,1
2011-01,전남,2378,2011,1
2011-01,전북,1144,2011,1
2011-01,제주,231,2011,1
2011-01,충남,8750,2011,1
2011-01,충북,3282,2011,1
2011-02,강원,3544,2011,2
2011-02,경기,21028,2011,2
2011-02,경남,4257,2011,2
2011-02,경북,7278,2011,2
2011-02,광주,964,2011,2
2011-02,대구,11929,2011,2
2011-02,대전,1847,2011,2
2011-02,부산,2824,2011,2
2011-02,서울,2216,2011,2
2011-02,세종,0,2011,2
2011-02,울산,5567,2011,2
2011-02,인천,4173,2011,2
2011-02,전남,2106,2011,2
2011-02,전북,1015,2011,2
2011-02,제주,209,2011,2
2011-02,충남,8477,2011,2
2011-02,충북,3154,2011,2
2011-03,강원,3376,2011,3
2011-03,경기,21162,2011,3
2011-03,경남,3871,2011,3
2011-03,경북,6974,2011,3
2011-03,광주,805,2011,3
2011-03,대구,11325,2011,3
2011-03,대전,1651,2011,3
2011-03,부산,2734,2011,3
2011-03,서울,2104,2011,3
2011-03,세종,0,2011,3
2011-03,울산,5469,2011,3
2011-03,인천,3823,2011,3
2011-03,전남,2040,2011,3
2011-03,전북,925,2011,3
2011-03,제주,215,2011,3
2011-03,충남,8082,2011,3
2011-03,충북,3016,2011,3
2011-04,강원,3252,2011,4
2011-04,경기,19715,2011,4
2011-04,경남,3668,2011,4
2011-04,경북,6397,2011,4
2011-04,광주,717,2011,4
2011-04,대구,10561,2011,4
2011-04,대전,1530,2011,4
2011-04,부산,2305,2011,4
2011-04,서울,1855,2011,4
2011-04,세종,0,2011,4
2011-04,울산,5354,2011,4
2011-04,인천,3438,2011,4
2011-04,전남,1885,2011,4
2011-04,전북,843,2011,4
2011-04,제주,177,2011,4
2011-04,충남,7620,2011,4
2011-04,충북,2915,2011,4
2011-05,강원,3363,2011,5
2011-05,경기,21303,2011,5
2011-05,경남,2896,2011,5
2011-05,경북,5984,2011,5
2011-05,광주,721,2011,5
2011-05,대구,9916,2011,5
2011-05,대전,1272,2011,5
2011-05,부산,2671,2011,5
2011-05,서울,1785,2011,5
2011-05,세종,0,2011,5
2011-05,울산,5419,2011,5
2011-05,인천,3945,2011,5
2011-05,전남,1792,2011,5
2011-05,전북,750,2011,5
2011-05,제주,141,2011,5
2011-05,충남,7459,2011,5
2011-05,충북,1943,2011,5
2011-06,강원,3214,2011,6
2011-06,경기,21579,2011,6
2011-06,경남,3048,2011,6
2011-06,경북,5885,2011,6
2011-06,광주,655,2011,6
2011-06,대구,11577,2011,6
2011-06,대전,1629,2011,6
2011-06,부산,2682,2011,6
2011-06,서울,1825,2011,6
2011-06,세종,0,2011,6
2011-06,울산,5200,2011,6
2011-06,인천,3821,2011,6
2011-06,전남,1655,2011,6
2011-06,전북,687,2011,6
2011-06,제주,146,2011,6
2011-06,충남,7229,2011,6
2011-06,충북,1835,2011,6
2011-07,강원,3114,2011,7
2011-07,경기,20819,2011,7
2011-07,경남,2896,2011,7
2011-07,경북,5655,2011,7
2011-07,광주,682,2011,7
2011-07,대구,10828,2011,7
2011-07,대전,1189,2011,7
2011-07,부산,3158,2011,7
2011-07,서울,1826,2011,7
2011-07,세종,0,2011,7
2011-07,울산,5014,2011,7
2011-07,인천,3749,2011,7
2011-07,전남,1800,2011,7
2011-07,전북,639,2011,7
2011-07,제주,130,2011,7
2011-07,충남,6903,2011,7
2011-07,충북,1685,2011,7
2011-08,강원,2922,2011,8
2011-08,경기,22137,2011,8
2011-08,경남,2729,2011,8
2011-08,경북,5093,2011,8
2011-08,광주,458,2011,8
2011-08,대구,10152,2011,8
2011-08,대전,997,2011,8
2011-08,부산,3046,2011,8
2011-08,서울,1767,2011,8
2011-08,세종,0,2011,8
2011-08,울산,4942,2011,8
2011-08,인천,3730,2011,8
2011-08,전남,1728,2011,8
2011-08,전북,541,2011,8
2011-08,제주,290,2011,8
2011-08,충남,6546,2011,8
2011-08,충북,1515,2011,8
2011-09,강원,2690,2011,9
2011-09,경기,21724,2011,9
2011-09,경남,3748,2011,9
2011-09,경북,4723,2011,9
2011-09,광주,619,2011,9
2011-09,대구,9861,2011,9
2011-09,대전,913,2011,9
2011-09,부산,2842,2011,9
2011-09,서울,1776,2011,9
2011-09,세종,0,2011,9
2011-09,울산,4713,2011,9
2011-09,인천,3783,2011,9
2011-09,전남,2191,2011,9
2011-09,전북,478,2011,9
2011-09,제주,249,2011,9
2011-09,충남,6379,2011,9
2011-09,충북,1350,2011,9
2011-10,강원,2460,2011,10
2011-10,경기,21556,2011,10
2011-10,경남,4454,2011,10
2011-10,경북,4434,2011,10
2011-10,광주,806,2011,10
2011-10,대구,9295,2011,10
2011-10,대전,854,2011,10
2011-10,부산,3008,2011,10
2011-10,서울,1821,2011,10
2011-10,세종,0,2011,10
2011-10,울산,4501,2011,10
2011-10,인천,3724,2011,10
2011-10,전남,1847,2011,10
2011-10,전북,428,2011,10
2011-10,제주,176,2011,10
2011-10,충남,5903,2011,10
2011-10,충북,1195,2011,10
2011-11,강원,2207,2011,11
2011-11,경기,21595,2011,11
2011-11,경남,4235,2011,11
2011-11,경북,4274,2011,11
2011-11,광주,770,2011,11
2011-11,대구,9384,2011,11
2011-11,대전,1482,2011,11
2011-11,부산,2887,2011,11
2011-11,서울,1801,2011,11
2011-11,세종,0,2011,11
2011-11,울산,3780,2011,11
2011-11,인천,3873,2011,11
2011-11,전남,1728,2011,11
2011-11,전북,386,2011,11
2011-11,제주,147,2011,11
2011-11,충남,7391,2011,11
2011-11,충북,1100,2011,11
2011-12,강원,2244,2011,12
2011-12,경기,22378,2011,12
2011-12,경남,6375,2011,12
2011-12,경북,4110,2011,12
2011-12,광주,784,2011,12
2011-12,대구,8672,2011,12
2011-12,대전,1557,2011,12
2011-12,부산,4193,2011,12
2011-12,서울,1861,2011,12
2011-12,세종,0,2011,12
2011-12,울산,3510,2011,12
2011-12,인천,3642,2011,12
2011-12,전남,1527,2011,12
2011-12,전북,355,2011,12
2011-12,제주,97,2011,12
2011-12,충남,7471,2011,12
2011-12,충북,1031,2011,12
2012-01,강원,2318,2012,1
2012-01,경기,23539,2012,1
2012-01,경남,5888,2012,1
2012-01,경북,3508,2012,1
2012-01,광주,865,2012,1
2012-01,대구,7477,2012,1
2012-01,대전,1400,2012,1
2012-01,부산,3909,2012,1
2012-01,서울,1890,2012,1
2012-01,세종,0,2012,1
2012-01,울산,3363,2012,1
2012-01,인천,3532,2012,1
2012-01,전남,1436,2012,1
2012-01,전북,354,2012,1
2012-01,제주,71,2012,1
2012-01,충남,7159,2012,1
2012-01,충북,1077,2012,1
2012-02,강원,2642,2012,2
2012-02,경기,22206,2012,2
2012-02,경남,5488,2012,2
2012-02,경북,3228,2012,2
2012-02,광주,818,2012,2
2012-02,대구,6807,2012,2
2012-02,대전,1301,2012,2
2012-02,부산,3970,2012,2
2012-02,서울,1703,2012,2
2012-02,세종,0,2012,2
2012-02,울산,3507,2012,2
2012-02,인천,3694,2012,2
2012-02,전남,1376,2012,2
2012-02,전북,285,2012,2
2012-02,제주,84,2012,2
2012-02,충남,6746,2012,2
2012-02,충북,995,2012,2
2012-03,강원,2567,2012,3
2012-03,경기,21427,2012,3
2012-03,경남,5518,2012,3
2012-03,경북,3010,2012,3
2012-03,광주,1142,2012,3
2012-03,대구,6104,2012,3
2012-03,대전,1227,2012,3
2012-03,부산,4191,2012,3
2012-03,서울,1732,2012,3
2012-03,세종,0,2012,3
2012-03,울산,3144,2012,3
2012-03,인천,3802,2012,3
2012-03,전남,1285,2012,3
2012-03,전북,259,2012,3
2012-03,제주,57,2012,3
2012-03,충남,6502,2012,3
2012-03,충북,982,2012,3
2012-04,강원,3034,2012,4
2012-04,경기,20595,2012,4
2012-04,경남,5297,2012,4
2012-04,경북,3562,2012,4
2012-04,광주,940,2012,4
2012-04,대구,5895,2012,4
2012-04,대전,1192,2012,4
2012-04,부산,4063,2012,4
2012-04,서울,1691,2012,4
2012-04,세종,0,2012,4
2012-04,울산,2916,2012,4
2012-04,인천,3829,2012,4
