연월,시도,기타대출_잔액,주담대_잔액,주담대_증감률,주담대_비중,연도,월
2008-01,서울,49371.7,98248.6,-0.1285894499726048,66.55493858229526,2008,1
2008-01,울산,1629.7,3618.0,-1.1502417966722245,68.94448996703318,2008,1
2008-01,인천,3994.7,15226.2,0.6923916278147146,79.21689411005728,2008,1
2008-01,전남,2505.9,1545.9,-3.838019407812876,38.15341329779358,2008,1
2008-01,전북,2970.2,2704.9,-2.0496107188122337,47.6625962538105,2008,1
2008-01,제주,1414.7,612.4,-2.078669651423093,30.21064575008633,2008,1
2008-01,충남,3373.8,5153.6,1.2654248211899866,60.43577174754321,2008,1
2008-01,충북,1989.5,3075.2,-0.1752905278192607,60.71830513159713,2008,1
2008-02,강원,2595.7,2723.4,-1.114701717439448,51.200391043597605,2008,2
2008-02,경기,22747.8,69250.3,-0.37461858390146485,75.27361978127809,2008,2
2008-02,경남,4863.2,7658.3,0.7379442792875723,61.16120273130217,2008,2
2008-02,경북,3268.7,3362.2,1.454435727217862,50.705032499359056,2008,2
2008-02,광주,2717.3,3806.2,1.239493563145011,58.34597991875526,2008,2
2008-02,대구,4513.3,9227.0,-0.6257337023833909,67.1528278130754,2008,2
2008-02,대전,3417.1,4973.3,-0.13253278178275707,59.27369374523265,2008,2
2008-02,부산,7356.8,14247.1,-1.380947766256424,65.94688921907618,2008,2
2008-02,서울,51335.2,97093.1,-1.1760981835873485,65.41414272076148,2008,2
2008-02,울산,1647.5,3645.3,0.7545605306799485,68.87280834340991,2008,2
2008-02,인천,4175.5,15247.7,0.14120397735482015,78.502512459327,2008,2
2008-02,전남,2527.7,1489.6,-3.641891454815971,37.079630597665094,2008,2
2008-02,전북,3022.4,2709.1,0.15527376243114066,47.26685858850214,2008,2
2008-02,제주,1420.1,603.7,-1.4206401045068429,29.830022729518728,2008,2
2008-02,충남,3431.5,5174.8,0.4113629307668454,60.128045733939096,2008,2
2008-02,충북,2016.5,3078.9,0.12031737773154916,60.42508929622797,2008,2
2008-03,강원,2611.5,2674.2,-1.8065653227583245,50.59310971110732,2008,3
2008-03,경기,23175.2,69585.4,0.4838968206635874,75.01611675646772,2008,3
2008-03,경남,4892.6,7677.8,0.25462570022067865,61.07840641507032,2008,3
2008-03,경북,3291.0,3424.5,1.8529534233537648,50.993969175787356,2008,3
2008-03,광주,2747.3,3859.1,1.3898376333350893,58.41456769193509,2008,3
2008-03,대구,4575.0,9167.2,-0.6480979733391012,66.70838730334299,2008,3
2008-03,대전,3467.6,4953.2,-0.40415820481370934,58.82101463043892,2008,3
2008-03,부산,7424.9,14292.2,0.3165556499217459,65.81081267756745,2008,3
2008-03,서울,52197.5,97170.5,0.07971730225937446,65.0544293289058,2008,3
2008-03,울산,1694.1,3619.8,-0.6995309028063557,68.11946028340768,2008,3
2008-03,인천,4248.0,15246.1,-0.010493385887710982,78.20879137790409,2008,3
2008-03,전남,2555.8,1482.1,-0.5034908700322194,36.7047227519255,2008,3
2008-03,전북,3057.6,2713.5,0.16241556236389343,47.01876591984197,2008,3
2008-03,제주,1434.7,599.0,-0.7785323836342672,29.45370506957762,2008,3
2008-03,충남,3479.8,5200.4,0.4947051093761923,59.91106195709776,2008,3
2008-03,충북,2041.6,3155.4,2.4846536100555427,60.71579757552434,2008,3
2008-04,강원,2634.9,2645.1,-1.088175903073818,50.09659090909091,2008,4
2008-04,경기,23488.4,70249.1,0.9537920310870085,74.94236564875317,2008,4
2008-04,경남,4927.1,7732.8,0.7163510380577831,61.081051193137384,2008,4
2008-04,경북,3313.7,3451.3,0.7825959994159692,51.016999260901706,2008,4
2008-04,광주,2762.9,3902.2,1.116840714156142,58.546758488244734,2008,4
2008-04,대구,4590.0,9201.0,0.36870582075223535,66.7174244072221,2008,4
2008-04,대전,3513.3,4959.6,0.12920939998386505,58.53485819495096,2008,4
