시도코드,시도,연도,총인구,세대수,주택수,평균연령,노령화지수,노년부양비,유소년부양비,종사자수,사업체수,인구밀도
24,광주,2024,1444170,628550,523260,43.1,150.9,24.3,16.1,657084,159186,2899.8
25,대전,2024,1467093,658831,494332,43.0,164.9,24.5,14.9,690797,157205,2719.5
26,울산,2024,1106894,462342,380814,43.8,144.2,23.5,16.3,558069,107181,1041.2
29,세종,2024,390156,158901,143726,38.3,63.3,15.6,24.7,170096,34293,839.3
31,경기,2024,13914479,5592072,4673651,43.1,141.5,22.6,16.0,6140403,1478619,1345.8
32,강원,2024,1522881,702603,598671,47.2,256.7,37.5,14.6,739442,202785,90.6
33,충북,2024,1646328,726988,609974,45.1,201.4,30.3,15.0,845022,191826,222.2
34,충남,2024,2238243,964538,832028,45.0,194.0,30.4,15.7,1101587,268137,270.8
35,전북,2024,1758836,788621,677980,46.9,247.5,37.1,15.0,799025,234788,216.0
36,전남,2024,1778338,799012,720243,48.1,261.7,41.2,15.7,880240,234526,142.9
37,경북,2024,2578999,1174597,988012,47.5,259.2,37.9,14.6,1257522,319806,140.0
38,경남,2024,3264244,1415780,1203137,45.8,194.0,31.0,16.0,1527590,374512,309.2
39,제주,2024,674817,279657,225290,43.9,147.7,26.5,18.0,324297,93948,361.8
