시군구코드,시군구,시도코드,시도,연도,총인구,남자인구,여자인구,20대,남_20대,여_20대,30대,남_30대,여_30대,40대,남_40대,여_40대,50대이상,남_50대이상,여_50대이상
51800,양구군,51,강원,2024,20621,10774,9847,2216,1382,834,2233,1285,948,2338,1223,1115,10698,5289,5409
51830,양양군,51,강원,2011,27942,14282,13660,2937,1706,1231,3200,1765,1435,4129,2253,1876,13005,6071,6934
51830,양양군,51,강원,2012,27802,14169,13633,2794,1604,1190,3089,1709,1380,4059,2247,1812,13395,6260,7135
51830,양양군,51,강원,2013,27659,14130,13529,2839,1702,1137,2919,1592,1327,4016,2240,1776,13657,6364,7293
51830,양양군,51,강원,2014,27521,14005,13516,2641,1557,1084,2769,1517,1252,4013,2239,1774,13999,6530,7469
51830,양양군,51,강원,2015,27479,13965,13514,2600,1575,1025,2658,1449,1209,3896,2184,1712,14359,6696,7663
51830,양양군,51,강원,2016,27218,13838,13380,2540,1520,1020,2547,1396,1151,3752,2115,1637,14643,6859,7784
51830,양양군,51,강원,2017,27207,13849,13358,2445,1452,993,2453,1354,1099,3703,2073,1630,15044,7099,7945
51830,양양군,51,강원,2018,27347,13900,13447,2376,1393,983,2426,1345,1081,3617,2002,1615,15504,7384,8120
51830,양양군,51,강원,2019,27726,14099,13627,2362,1390,972,2431,1312,1119,3599,1988,1611,15990,7671,8319
51830,양양군,51,강원,2020,27946,14220,13726,2411,1417,994,2340,1265,1075,3524,1934,1590,16476,7935,8541
51830,양양군,51,강원,2021,27913,14251,13662,2327,1390,937,2244,1236,1008,3444,1868,1576,16859,8168,8691
51830,양양군,51,강원,2022,27866,14228,13638,2191,1299,892,2140,1180,960,3417,1882,1535,17196,8330,8866
51830,양양군,51,강원,2023,27710,14192,13518,2102,1262,840,2079,1175,904,3346,1806,1540,17420,8501,8919
51830,양양군,51,강원,2024,27489,14079,13410,1976,1199,777,2026,1120,906,3210,1770,1440,17552,8568,8984
51750,영월군,51,강원,2011,40199,20480,19719,3905,2237,1668,4256,2351,1905,6267,3493,2774,18922,8789,10133
51750,영월군,51,강원,2012,40155,20448,19707,3764,2129,1635,4200,2297,1903,6034,3373,2661,19494,9125,10369
51750,영월군,51,강원,2013,40150,20478,19672,3670,2065,1605,4024,2182,1842,6014,3363,2651,19989,9428,10561
51750,영월군,51,강원,2014,40191,20581,19610,3647,2053,1594,3761,2083,1678,5967,3334,2633,20560,9735,10825
51750,영월군,51,강원,2015,40216,20691,19525,3750,2148,1602,3618,1987,1631,5840,3262,2578,21077,10079,10998
51750,영월군,51,강원,2016,40073,20652,19421,3714,2131,1583,3445,1894,1551,5643,3168,2475,21590,10378,11212
51750,영월군,51,강원,2017,40067,20639,19428,3724,2143,1581,3306,1804,1502,5496,3103,2393,22131,10696,11435
51750,영월군,51,강원,2018,39730,20493,19237,3646,2110,1536,3176,1724,1452,5191,2919,2272,22584,11008,11576
51750,영월군,51,강원,2019,39127,20143,18984,3440,1966,1474,3009,1649,1360,4882,2707,2175,22985,11260,11725
51750,영월군,51,강원,2020,38662,19986,18676,3311,1918,1393,2780,1518,1262,4614,2535,2079,23411,11590,11821
51750,영월군,51,강원,2021,37904,19626,18278,3136,1818,1318,2620,1429,1191,4322,2332,1990,23529,11738,11791
51750,영월군,51,강원,2022,37728,19509,18219,2966,1669,1297,2492,1390,1102,4252,2272,1980,23868,11928,11940
51750,영월군,51,강원,2023,37332,19318,18014,2799,1587,1212,2368,1291,1077,4034,2148,1886,24135,12094,12041
51750,영월군,51,강원,2024,36721,18990,17731,2594,1470,1124,2296,1260,1036,3817,2036,1781,24237,12158,12079
51130,원주시,51,강원,2011,320536,159522,161014,40016,20895,19121,49538,24491,25047,57848,29197,28651,95077,44254,50823
51130,원주시,51,강원,2012,323885,161117,162768,40196,21035,19161,49057,24181,24876,58006,29279,28727,100170,46770,53400
51130,원주시,51,강원,2013,324837,161588,163249,40020,21058,18962,47572,23527,24045,58603,29407,29196,104384,48981,55403
51130,원주시,51,강원,2014,327292,162734,164558,40384,21364,19020,46416,23069,23347,59042,29556,29486,108762,51082,57680
51130,원주시,51,강원,2015,332995,165547,167448,41380,21913,19467,46452,23179,23273,59232,29673,29559,114155,53685,60470
51130,원주시,51,강원,2016,337979,167854,170125,42547,22487,20060,46372,23268,23104,59019,29391,29628,119561,56392,63169
51130,원주시,51,강원,2017,341337,169742,171595,43863,23280,20583,45587,23002,22585,58914,29329,29585,124385,58713,65672
51130,원주시,51,강원,2018,344070,171048,173022,44367,23571,20796,45313,22867,22446,57667,28674,28993,130071,61584,68487
51130,원주시,51,강원,2019,349215,173425,175790,45028,23905,21123,45276,22940,22336,57401,28430,28971,135942,64368,71574
51130,원주시,51,강원,2020,354376,175939,178437,45576,24281,21295,45323,23037,22286,57215,28219,28996,142042,67350,74692
51130,원주시,51,강원,2021,357757,177396,180361,44938,23959,20979,45429,23135,22294,56864,27972,28892,147744,70122,77622
51130,원주시,51,강원,2022,360807,178880,181927,43982,23492,20490,45454,23125,22329,56740,27910,28830,152998,72718,80280
51130,원주시,51,강원,2023,361503,179115,182388,42306,22492,19814,45545,23354,22191,55623,27502,28121,157732,74870,82862
51130,원주시,51,강원,2024,362164,179228,182936,40481,21506,18975,46298,23884,22414,54306,26851,27455,162156,76906,85250
51810,인제군,51,강원,2011,31970,17014,14956,4282,2727,1555,4573,2512,2061,4745,2615,2130,11845,5694,6151
51810,인제군,51,강원,2012,32456,17379,15077,4325,2832,1493,4624,2557,2067,4655,2580,2075,12346,5970,6376
51810,인제군,51,강원,2013,32517,17345,15172,4134,2682,1452,4598,2518,2080,4661,2615,2046,12770,6198,6572
51810,인제군,51,강원,2014,32475,17287,15188,4144,2656,1488,4517,2471,2046,4610,2602,2008,13034,6339,6695
51810,인제군,51,강원,2015,33255,18020,15235,4901,3382,1519,4442,2453,1989,4496,2571,1925,13404,6506,6898
51810,인제군,51,강원,2016,32720,17677,15043,4569,3069,1500,4392,2443,1949,4336,2455,1881,13676,6721,6955
51810,인제군,51,강원,2017,32582,17579,15003,4451,2949,1502,4345,2445,1900,4278,2400,1878,13975,6906,7069
51810,인제군,51,강원,2018,32136,17349,14787,4293,2827,1466,4126,2347,1779,4148,2327,1821,14307,7097,7210
51810,인제군,51,강원,2019,31672,17143,14529,4190,2794,1396,3920,2231,1689,3987,2233,1754,14591,7295,7296
51810,인제군,51,강원,2020,31694,17084,14610,4067,2692,1375,3902,2229,1673,3998,2233,1765,14914,7448,7466
51810,인제군,51,강원,2021,32165,17461,14704,4209,2821,1388,3981,2312,1669,3938,2193,1745,15302,7685,7617
51810,인제군,51,강원,2022,32206,17529,14677,4026,2754,1272,3948,2312,1636,3987,2178,1809,15544,7857,7687
51810,인제군,51,강원,2023,32020,17422,14598,3888,2670,1218,3898,2296,1602,3906,2121,1785,15752,8006,7746
51810,인제군,51,강원,2024,31535,17194,14341,3645,2475,1170,3854,2293,1561,3786,2047,1739,15927,8142,7785
51770,정선군,51,강원,2011,40181,20815,19366,4421,2361,2060,5148,2982,2166,6088,3486,2602,18072,8613,9459
51770,정선군,51,강원,2012,39915,20686,19229,4083,2200,1883,5057,2923,2134,5948,3425,2523,18498,8828,9670
51770,정선군,51,강원,2013,39985,20675,19310,3879,2119,1760,4939,2834,2105,5932,3398,2534,19020,9096,9924
51770,정선군,51,강원,2014,39425,20387,19038,3609,1980,1629,4636,2620,2016,5863,3408,2455,19408,9312,10096
51770,정선군,51,강원,2015,39197,20253,18944,3498,1919,1579,4393,2487,1906,5791,3384,2407,19787,9508,10279
51770,정선군,51,강원,2016,38718,19975,18743,3332,1835,1497,4103,2303,1800,5679,3317,2362,20123,9717,10406
51770,정선군,51,강원,2017,38173,19748,18425,3209,1783,1426,3837,2177,1660,5484,3208,2276,20467,9909,10558
51770,정선군,51,강원,2018,37700,19595,18105,3050,1715,1335,3648,2058,1590,5261,3079,2182,20853,10186,10667
