"행정구역","2016년_계_총인구수","2016년_계_연령구간인구수","2016년_계_0~4세","2016년_남_총인구수","2016년_남_연령구간인구수","2016년_남_0~4세","2016년_여_총인구수","2016년_여_연령구간인구수","2016년_여_0~4세","2017년_계_총인구수","2017년_계_연령구간인구수","2017년_계_0~4세","2017년_남_총인구수","2017년_남_연령구간인구수","2017년_남_0~4세","2017년_여_총인구수","2017년_여_연령구간인구수","2017년_여_0~4세","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0~4세","2018년_남_총인구수","2018년_남_연령구간인구수","2018년_남_0~4세","2018년_여_총인구수","2018년_여_연령구간인구수","2018년_여_0~4세"
"경상북도 영천시 남부동(4723055500)","4,502","168","168","2,381","84","84","2,121","84","84","4,338","157","157","2,333","83","83","2,005","74","74","4,391","144","144","2,366","70","70","2,025","74","74"
"경상북도 상주시 (4725000000)","101,799","2,816","2,816","49,824","1,482","1,482","51,975","1,334","1,334","100,947","2,658","2,658","49,344","1,392","1,392","51,603","1,266","1,266","100,297","2,529","2,529","49,046","1,331","1,331","51,251","1,198","1,198"
"경상북도 상주시 함창읍(4725025000)","6,949","138","138","3,386","76","76","3,563","62","62","6,999","141","141","3,406","82","82","3,593","59","59","6,907","142","142","3,367","80","80","3,540","62","62"
"경상북도 상주시 중동면(4725031000)","1,543","32","32","739","16","16","804","16","16","1,506","26","26","722","14","14","784","12","12","1,493","24","24","722","18","18","771","6","6"
"경상북도 상주시 사벌면(4725032000)","4,062","85","85","1,960","45","45","2,102","40","40","4,016","67","67","1,936","36","36","2,080","31","31","4,017","63","63","1,938","31","31","2,079","32","32"
"경상북도 상주시 낙동면(4725033000)","3,332","44","44","1,607","22","22","1,725","22","22","3,254","39","39","1,576","14","14","1,678","25","25","3,216","41","41","1,557","18","18","1,659","23","23"
"경상북도 상주시 낙동면동부출장소(4725033500)","1,120","13","13","539","9","9","581","4","4","1,084","11","11","519","4","4","565","7","7","1,034","10","10","502","3","3","532","7","7"
"경상북도 상주시 청리면(4725034000)","2,896","46","46","1,409","26","26","1,487","20","20","2,811","43","43","1,372","22","22","1,439","21","21","2,783","33","33","1,369","21","21","1,414","12","12"
"경상북도 상주시 공성면(4725035000)","4,299","55","55","2,085","25","25","2,214","30","30","4,229","52","52","2,037","25","25","2,192","27","27","4,118","37","37","1,988","23","23","2,130","14","14"
"경상북도 상주시 외남면(4725036000)","1,829","38","38","907","19","19","922","19","19","1,821","35","35","919","17","17","902","18","18","1,757","18","18","886","5","5","871","13","13"
"경상북도 상주시 내서면(4725037000)","1,980","31","31","986","12","12","994","19","19","1,946","23","23","960","11","11","986","12","12","1,911","26","26","945","13","13","966","13","13"
"경상북도 상주시 모동면(4725038000)","2,774","50","50","1,378","24","24","1,396","26","26","2,720","43","43","1,363","21","21","1,357","22","22","2,665","46","46","1,341","24","24","1,324","22","22"
"경상북도 상주시 모서면(4725039000)","1,834","35","35","938","21","21","896","14","14","1,800","31","31","913","16","16","887","15","15","1,791","26","26","913","11","11","878","15","15"
"경상북도 상주시 모서면서부출장소(4725039500)","807","9","9","386","5","5","421","4","4","781","11","11","374","5","5","407","6","6","783","12","12","374","5","5","409","7","7"
"경상북도 상주시 화동면(4725040000)","2,150","32","32","1,071","19","19","1,079","13","13","2,145","30","30","1,062","17","17","1,083","13","13","2,065","25","25","1,032","17","17","1,033","8","8"
"경상북도 상주시 화서면(4725041000)","2,860","55","55","1,375","25","25","1,485","30","30","2,848","63","63","1,391","38","38","1,457","25","25","2,869","67","67","1,397","37","37","1,472","30","30"
"경상북도 상주시 화북면(4725042000)","1,304","19","19","655","14","14","649","5","5","1,261","15","15","632","10","10","629","5","5","1,271","12","12","656","7","7","615","5","5"
"경상북도 상주시 화북면서부출장소(4725042600)","355","4","4","178","1","1","177","3","3","355","4","4","185","2","2","170","2","2","343","3","3","177","1","1","166","2","2"
"경상북도 상주시 외서면(4725043000)","2,804","42","42","1,346","23","23","1,458","19","19","2,847","46","46","1,355","21","21","1,492","25","25","2,880","45","45","1,372","21","21","1,508","24","24"
"경상북도 상주시 은척면(4725044000)","1,224","9","9","582","6","6","642","3","3","1,188","7","7","560","3","3","628","4","4","1,213","7","7","580","1","1","633","6","6"
"경상북도 상주시 은척면북부출장소(4725044500)","367","3","3","184","0","0","183","3","3","385","3","3","192","0","0","193","3","3","378","3","3","189","0","0","189","3","3"
"경상북도 상주시 공검면(4725045000)","2,311","20","20","1,097","6","6","1,214","14","14","2,270","17","17","1,070","8","8","1,200","9","9","2,255","16","16","1,059","8","8","1,196","8","8"
"경상북도 상주시 이안면(4725046000)","2,155","28","28","1,015","15","15","1,140","13","13","2,150","27","27","1,018","16","16","1,132","11","11","2,125","24","24","997","15","15","1,128","9","9"
